,BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CAM,CNT,CS,CX,CY,EEG_ENG,EEG_EXC,EEG_FRU,EEG_MED,FACE,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LPCX,LPCY,LPD,LPS,LPV,MID,MOB,RPCX,RPCY,RPD,RPS,RPV,SCLX,SCLY,SCN,TIME,TIMETICK,USER,VID,WEB
3401,0.0,0,16,1,0.6642299890518188,0.4702099859714508,1658,3406,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,541,0.575439989566803,127,55.52783203125,0,0.6548200249671936,0.4646399915218353,0.32589998841285706,0.5884799957275391,19.09687042236328,1.0250400304794312,1,0,0,0.7570000290870667,0.6178200244903564,18.453800201416016,1.0250400304794312,1,0,0,543,56.158447265625,243890916620.0,,0,0
3415,0.0,0,16,1,0.3826799988746643,0.48124000430107117,1665,3420,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,543,0.20972000062465668,128,56.1259765625,0,0.4032999873161316,0.47126999497413635,0.30886998772621155,0.594730019569397,18.684709548950195,1.0470999479293823,1,0,0,0.740339994430542,0.6213799715042114,18.793230056762695,1.0470999479293823,1,0,0,545,56.389404296875,243891434358.0,,0,0
3472,0.0,0,17,1,0.36430999636650085,0.49465999007225037,1694,3477,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,553,0.6755399703979492,129,56.356201171875,0,0.36812999844551086,0.4893999993801117,0.3097800016403198,0.5976600050926208,19.41728973388672,1.0113600492477417,1,0,0,0.7421799898147583,0.6253100037574768,18.86536979675293,1.0187599658966064,1,0,0,554,57.329345703125,243893540632.0,,0,0
3497,0.0,0,17,1,0.4471299946308136,0.4990200102329254,1706,3502,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,556,0.3925800025463104,130,57.297119140625,0,0.4344399869441986,0.49876001477241516,0.31400999426841736,0.5990300178527832,19.322420120239258,1.0477099418640137,1,0,0,0.7466099858283997,0.6264700293540955,18.114360809326172,1.0477099418640137,1,0,0,558,57.740234375,243894461518.0,,0,0
3520,0.0,0,16,1,0.48857998847961426,0.4872100055217743,1717,3525,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,560,0.3644999861717224,131,57.707275390625,0,0.49305999279022217,0.4786899983882904,0.31547999382019043,0.5978099703788757,19.018749237060547,1.0396900177001953,1,0,0,0.7481099963188171,0.6252400279045105,17.560440063476562,1.032289981842041,1,0,0,562,58.115234375,243895301999.0,,0,0
3551,0.0,0,16,1,0.62117999792099,0.47530001401901245,1732,3556,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,565,0.4992699921131134,132,58.081787109375,0,0.6063600182533264,0.48183000087738037,0.3278599977493286,0.6001899838447571,19.219850540161133,1.032289981842041,1,0,0,0.7599200010299683,0.6297699809074402,18.205110549926758,1.0396900177001953,1,0,0,567,58.629150390625,243896453723.0,,0,0
3574,0.0,0,16,1,0.3393000066280365,0.5256999731063843,1743,3579,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,569,0.3149400055408478,133,58.59716796875,0,0.34259000420570374,0.526669979095459,0.3101400136947632,0.6031200289726257,19.82740020751953,1.024880051612854,1,0,0,0.7427099943161011,0.6315600275993347,20.051660537719727,1.032289981842041,1,0,0,570,59.01025390625,243897307570.0,,0,0
3593,0.0,0,15,1,0.6196799874305725,0.4937799870967865,1753,3598,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,572,0.24315999448299408,134,58.97802734375,0,0.6040300130844116,0.5030400156974792,0.3203299939632416,0.6037099957466125,20.905059814453125,1.0174800157546997,1,0,0,0.7535200119018555,0.6317200064659119,19.537410736083984,1.0174800157546997,1,0,0,573,59.3203125,243898002243.0,,0,0
3620,0.0,0,15,1,0.3788299858570099,0.5230500102043152,1766,3625,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,576,0.37964001297950745,135,59.286865234375,0,0.3843199908733368,0.5206500291824341,0.30823999643325806,0.6017799973487854,19.17690086364746,1.0401500463485718,1,0,0,0.7414199709892273,0.6282899975776672,18.809410095214844,1.0401500463485718,1,0,0,578,59.764404296875,243898997860.0,,0,0
3640,0.0,0,15,1,0.4207099974155426,0.5194399952888489,1777,3645,0.0,0.8036500215530396,0.4111100137233734,0,0,0,0,580,0.31738001108169556,136,59.73291015625,0,0.4401499927043915,0.5149499773979187,0.306549996137619,0.5969300270080566,20.091650009155273,1.0548100471496582,1,0,0,0.7399200201034546,0.6245899796485901,19.33346939086914,1.0473999977111816,1,0,0,581,60.093994140625,243899735997.0,,0,0
